שנה,מחוז,רשות,שם רשות,מספר משפחות מקבלות סיוע,סך הכל שימושים,מספר סל המענים בסוג סיוע  איבזור הבית והתקנה,סך הכל הוצאה עבור איבזור הבית והתקנה בשח,מספר סל המענים בסוג סיוע  ביגוד והנעלה,סך הכל הוצאה עבור ביגוד והנעלה בשח,מספר סל המענים בסוג סיוע  הוצאה עבור בריאות,סך הכל הוצאה עבור בריאות בשח,מספר סל המענים בסוג סיוע  חובות כספיים,סך הכל הוצאה עבור חובות כספיים בשח,מספר סל המענים בסוג סיוע  חוגים,סך הכל הוצאה עבור חוגים בשח,מספר סל המענים בסוג סיוע  חינוך והשכלה,סך הכל הוצאה עבור חינוך והשכלה בשח,מספר סל המענים בסוג סיוע  מוצרי חשמל,סך הכל הוצאה עבור מוצרי חשמל בשח,מספר סל המענים בסוג סיוע  מוצרים חריגים,סך הכל הוצאה עבור מוצרים חריגים בשח,מספר סל המענים בסוג סיוע  ריהוט,סך הכל הוצאה עבור ריהוט בשח,מספר סל המענים בסוג סיוע  שונות,סך הכל הוצאה עבור שונות בשח,מספר סל המענים בסוג סיוע  תעסוקה,סך הכל הוצאה עבור תעסוקה בשח,מספר סל המענים בסוג סיוע  תחבורה,סך הכל הוצאה הסעה בשח,מספר סל המענים בסוג סיוע  פעילות רשותית,סך הכל הוצאה פעילות רשותית בשח
2020,דרום                          ,100,אילת,187,2014817.65,37,78892.58,166,324505.16,74,110282.08,159,277720.58,30,41519.66,50,66308.6,108,215128.92,15,14356.5,163,298340.07,322,513758.9,24,55546.5,0,0,8,22173
2020,דרום                          ,102,באר שבע,1591,7493252.37,255,307088.54,936,1238573.45,453,536794.81,975,1292793.84,466,578564.68,786,978048.77,823,1004233.37,251,320158.82,680,867001.61,303,349171.18,899,1117738.82,0,0,9,13200
2020,דרום                          ,105,דימונה,515,1692813.56,114,128782.76,463,487314.78,137,151367.75,356,341024.93,305,306293.96,125,126172.18,330,343692.21,101,96810.55,339,345702.61,163,163724.64,278,291414.46,0,0,15,22002.15
2020,דרום                          ,106,קרית גת,478,3629602.02,157,162114.53,504,573812.84,184,210827.04,448,501713.32,219,262658.04,384,432085.32,621,715894.56,136,137622.34,559,648500.23,128,121036.22,614,703700.29,0,0,9,7292.01
2020,דרום                          ,120,אופקים,198,880602.95,31,32287.4,129,138696.48,35,41762.58,118,146867.98,38,37687.66,59,56392.4,43,54582.9,17,17853,69,81265.16,220,258424.72,16,13990.67,0,0,2,792
2020,דרום                          ,123,ירוחם,306,1528755.23,101,95566.38,348,389247.59,140,169144.09,261,301529.8,134,163318.7,290,350669.55,361,424563.8,67,81778.69,233,247804.5,117,127867.21,369,424522.51,0,0,5,4804.7
2020,דרום                          ,125,נתיבות,193,1203593.45,34,44176.56,154,203415.84,44,41571,106,118944.18,55,72986.44,153,210484.14,110,165942.74,41,52693.94,93,121026.64,27,39261.21,133,169980.86,0,0,5,8624.5
2020,דרום                          ,127,שדרות,125,183276,15,14710,20,16325,14,16939,34,38521,10,8500,11,8510,18,11668,9,6480,25,21044,10,7883,34,32776,0,0,0,0
2020,דרום                          ,130,ערד,313,1552403.93,83,83156.71,281,285486.56,99,102841.21,278,233768.93,148,137014.81,186,179835.7,246,236015.57,73,66789.6,325,282404.99,88,82761.41,292,272683.04,0,0,5,5461
2020,דרום                          ,221,רהט,556,2519956.87,65,105046.17,211,311041.5,131,191050.17,228,333938.67,80,115882.5,157,201505.34,243,345631.67,64,88716.67,249,344793.84,65,96315,271,386035.34,0,0,0,0
2020,דרום                          ,222,תל שבע,125,911381.4,26,34852,84,114205.6,39,51488.6,73,105382.4,29,51463,38,46857.6,93,127706.4,22,24439.6,86,109886.6,39,62431,117,180468.6,0,0,2,2200
2020,דרום                          ,240,ערערה- הנגב,196,617550,30,22200,115,82200,33,29100,92,65100,39,36350,79,65350,121,109100,24,15500,88,64550,39,34000,120,94100,0,0,0,0
2020,דרום                          ,241,לקייה,191,879170,29,31250,142,153330,34,42350,134,147650,41,44400,91,94800,76,74850,38,40590,82,89250,47,55550,90,104650,1,500,0,0
2020,דרום                          ,242,חורה,219,425755,11,19820,32,36267.5,23,31545,38,48592.5,25,37425,22,39642.5,39,59092.5,16,27750,44,60460,26,24395,29,40765,0,0,0,0
2020,דרום                          ,243,שגב שלום,195,1693785.86,52,90347.61,85,139013.11,96,138362.92,109,186852.91,66,93056.07,63,94680.82,181,284616.38,54,81424.06,198,300130.97,38,51787.98,157,234533.03,0,0,0,0
2020,דרום                          ,244,כסייפא,91,13400,0,0,1,500,1,1200,1,700,0,0,2,1900,2,1700,0,0,5,3500,2,1200,3,2700,0,0,0,0
2020,דרום                          ,245,אל קסום,162,719392.69,3,3890,75,92148.39,34,43484.42,89,108825.17,26,26903.81,47,68791.36,51,70199.06,11,15251.92,56,79112.42,135,186026.14,17,24760,0,0,0,0
2020,דרום                          ,246,נווה מדבר,211,645330,16,21370,88,109850,20,30830,56,67210,26,31560,62,77700,56,72110,18,18420,63,84770,40,47430,60,82960,0,0,2,2400
2020,חיפה   והצפון                 ,500,חדרה,349,2740228.14,75,102981.37,235,284746.78,140,164917.37,305,367891.11,135,153700.62,115,158620.84,272,351348.24,101,127264.46,238,289275.64,264,342246.86,288,365360.75,0,0,2,1227
2020,חיפה   והצפון                 ,501,חיפה,961,5552247.89,185,277616.58,397,515199.44,281,372859.3,494,652317.89,225,305206.96,242,334550.35,512,678359.97,131,173787.83,485,637025.02,552,686813.97,663,926401.29,0,0,3,8881.12
2020,חיפה   והצפון                 ,504,עכו,530,3200651.59,113,125405.16,343,401589.74,182,212046.75,318,378173.99,226,250183.62,238,263249.35,381,462498.98,101,126020.2,360,413338.5,104,112195.36,378,439623.44,1,500,10,8013
2020,חיפה   והצפון                 ,505,צפת,179,1490831.51,33,57819.73,122,229289.9,36,79195.99,85,163333.34,44,96337.89,82,170411.54,94,190730.7,27,47844.91,89,199604.72,34,60482.8,105,198114.49,0,0,3,2162.5
2020,חיפה   והצפון                 ,506,קרית אתא,329,1215126.15,17,31845.54,112,189729.68,38,54288.1,73,125076.04,36,53721.5,94,149053.68,103,150616.44,27,48171.84,100,155320.13,18,38425.62,117,205573.08,0,0,2,1322.5
