שנה,מחוז,רשות,שם רשות,כמות משפחות מקבלות סיוע,סך הכל שימושים,כמות סל המענים בסוג סיוע  איבזור הבית והתקנה,סך הכל הוצאה עבור איבזור הבית והתקנה בשח,כמות סל המענים בסוג סיוע  ביגוד והנעלה,סך הכל הוצאה עבור ביגוד והנעלה בשח,כמות סל המענים בסוג סיוע  הוצאה עבור בריאות,סך הכל הוצאה עבור בריאות בשח,כמות סל המענים בסוג סיוע  חובות כספיים,סך הכל הוצאה עבור חובות כספיים בשח,כמות סל המענים בסוג סיוע  חוגים,סך הכל הוצאה עבור חוגים בשח,כמות סל המענים בסוג סיוע  חינוך והשכלה,סך הכל הוצאה עבור חינוך והשכלה בשח,כמות סל המענים בסוג סיוע  מוצרי חשמל,סך הכל הוצאה עבור מוצרי חשמל בשח,כמות סל המענים בסוג סיוע  מוצרים חריגים,סך הכל הוצאה עבור מוצרים חריגים בשח,כמות סל המענים בסוג סיוע  ריהוט,סך הכל הוצאה עבור ריהוט בשח,כמות סל המענים בסוג סיוע  שונות,סך הכל הוצאה עבור שונות בשח,כמות סל המענים בסוג סיוע  תעסוקה,סך הכל הוצאה עבור תעסוקה בשח,כמות סל המענים בסוג סיוע  תחבורה,סך הכל הוצאה הסעה בשח,כמות סל המענים בסוג סיוע  פעילות רשותית,סך הכל הוצאה פעילות רשותית בשח
2022,הדרום,100,אילת    ,207,205334.48,114,167195.4,235,145489.6,60,144556.28,97,128586.36,43,66694,78,83472.4,87,125125.36,58,74528,124,231279.52,70,45957.2,54,195305.64,,,2,1800
2022,הדרום,102,באר שבע   ,1656,9717128.41,443,683796.5,2315,1760657.69,540,894761.6,1074,1567925.64,873,736910.26,639,522089.93,1466,2901503.22,229,290616.64,2105,3885615.71,3699,2187809.67,1002,3106370.77,,,,
2022,הדרום,105,דימונה    ,716,6562355.36,290,345743.6,1434,1078264.47,471,588745.17,1170,1599622.94,361,322415,605,396249.6,691,1193847.5,168,175457.8,1194,2290088.12,2238,961289.66,446,1191781.5,1,,18,32060
2022,הדרום,106,קרית גת   ,519,3472467.3,214,268933.02,879,597474.12,568,673178.88,922,1304757.94,271,256684,540,432295.52,556,943519.82,171,179697.4,671,1203588.66,994,454467.38,184,414389.72,,,,
2022,הדרום,120,אופקים    ,219,1028129.31,83,57424,210,171200.24,54,66131.8,350,457806.26,84,62585,163,88448,214,363362,154,157407,210,364917.56,423,244003.06,83,194585.28,7168,42780,175,82568
2022,הדרום,123,ירוחם    ,365,2538401.74,88,128738,387,368060.08,154,280650.46,623,1102614.23,166,175850,217,223509.84,280,577075.38,142,195199,242,469786.86,493,405425.7,76,157092,,,,
2022,הדרום,125,נתיבות    ,190,1764521.4,119,234254.07,284,224293.76,105,154479.6,422,686557.67,128,101573.6,99,86594,149,262094.4,118,118623.2,211,449837.66,459,264638,205,528454.16,,,,
2022,הדרום,127,שדרות    ,169,1868965.88,104,95580,476,353509,121,177472.92,201,302349.24,229,102789,153,103429.2,272,532410,191,327718,280,664681.2,282,153242.62,128,222570.36,,,,
2022,הדרום,130,ערד    ,320,2907714.22,118,135363.74,772,448020.28,188,215532.56,2182,2199285.79,231,137819.74,147,86964.44,295,440550.8,163,96296.84,348,568679.14,343,208820.62,139,238731,,,,
2022,הדרום,221,רהט    ,459,2718561.76,310,633154,384,396122,76,112185,90,167319.34,87,47900,284,245224,605,1101152,102,137696,468,827473,114,107780,870,2362167.76,,,,
