שנה,מחוז,רשות,שם רשות,מספר משפחות מקבלות סיוע,סך הכל שימושים,מספר סל המענים בסוג סיוע איבזור הבית והתקנה,סך הכל הוצאה עבור איבזור הבית והתקנה בשח,מספר סל המענים בסוג סיוע ביגוד והנעלה,סך הכל הוצאה עבור ביגוד והנעלה בשח,מספר סל המענים בסוג סיוע הוצאה עבור בריאות,סך הכל הוצאה עבור בריאות בשח,מספר סל המענים בסוג סיוע חובות כספיים,סך הכל הוצאה עבור חובות כספיים בשח,מספר סל המענים בסוג סיוע חוגים,סך הכל הוצאה עבור חוגים בשח,מספר סל המענים בסוג סיוע חינוך והשכלה,סך הכל הוצאה עבור חינוך והשכלה בשח,מספר סל המענים בסוג סיוע מוצרי חשמל,סך הכל הוצאה עבור מוצרי חשמל בשח,מספר סל המענים בסוג סיוע מוצרים חריגים,סך הכל הוצאה עבור מוצרים חריגים בשח,מספר סל המענים בסוג סיוע ריהוט,סך הכל הוצאה עבור ריהוט בשח,מספר שונות,סך הכל הוצאה עבור שונות בשח,מספר סל המענים בסוג סיוע תעסוקה,סך הכל הוצאה עבור תעסוקה בשח,מספר סל המענים בסוג סיוע תחבורה,סך הכל הוצאה הסעה בשח,מספר סל המענים בסוג סיוע פעילות רשותית,סך הכל הוצאה פעילות רשותית בשח
2019,דרום                          ,100,אילת,229,1175685.34,289,362987.9,748,608038.46,139,220064.1,288,377482.91,201,247256.7,235,284293.19,340,463657.54,143,186357,390,595570.2,70,86427.9,219,381530.7,0,0,3,25762.5
2019,דרום                          ,102,באר שבע,1526,12808824.22,703,882559.12,2493,3185469.26,986,1866197.8,1189,1925081.27,1348,1705502.51,1438,1860397.26,2848,5347895.9,309,543486.85,3342,5970677.18,265,350841.09,2171,5277289.93,0,0,22,34132
2019,דרום                          ,105,דימונה,475,4697632.05,300,314082.5,1651,1527661.55,420,581749.44,426,552975.65,357,386412.07,1107,930416.33,1054,1559682.3,148,188879,1395,2456461.94,202,165805.15,814,1289287.5,0,0,14,17240
2019,דרום                          ,106,קרית גת,470,3248601.58,374,500587.01,809,831583.35,505,668656.32,783,1025695.88,410,459465.48,783,636590.57,1008,1462859.38,195,268752.98,1073,1717545.27,362,239512.4,590,948567.51,0,0,2,16800
2019,דרום                          ,120,אופקים,213,1399126.4,236,183706,427,409054.91,191,189388.57,511,549463.02,310,296534.27,516,345093.93,449,633356.95,90,91093.6,527,782651.87,105,94870.07,382,486603.62,90,21390,171,82790
2019,דרום                          ,123,ירוחם,240,1937117.13,161,234073.44,484,513790.95,188,338982.66,434,564784.56,92,91345.19,239,254146.81,416,736031.37,198,309073.44,500,815862,122,76131.24,311,520427.68,0,0,8,51802
2019,דרום                          ,125,נתיבות,228,1544565.76,128,198848,314,374328.91,188,295348.91,515,658318.98,128,92333.87,251,314629.92,321,568945.65,161,181485.8,394,780392.94,68,75340.21,317,593495.68,0,0,1,21478
2019,דרום                          ,127,שדרות,240,2032258.83,130,188992.4,546,581941.9,149,170144.72,218,313869.82,140,150320.22,283,311418.32,462,810824.21,116,194958,406,737227.93,155,109047,343,535361.51,0,0,3,21155
2019,דרום                          ,130,ערד,237,1913936.05,278,206100.77,777,487813.05,222,154375.92,1723,1386200.73,472,275431.88,335,227960.71,471,462456.31,218,169685.78,612,661151.06,128,98221.46,509,454798.87,0,0,2,12551.6
2019,דרום                          ,221,רהט,632,3278637,492,929906,1120,1432107,329,531525,442,725862,176,234301,588,588726,1095,1870680,267,378696,1057,1796775,116,198755,1043,1401512,0,0,3,40138
2019,דרום                          ,222,תל שבע,212,1528027.6,227,440179.2,506,616584.91,82,132751,239,443972.89,86,117842.5,239,334436.01,497,757573.09,49,91894.01,301,454693.44,32,41600,312,482039.66,14,21866.69,18,33761.8
2019,דרום                          ,240,ערערה- הנגב,187,1129330,159,356300,628,697495,60,86550,127,186650,64,93250,326,418575,423,620455,36,58625,242,389480,52,76550,268,520625,0,0,0,0
2019,דרום                          ,241,לקייה,214,970950,241,329159.63,397,322301.75,137,130165.15,414,425024.68,163,128716,415,334152.53,568,684295,148,114110,358,375156.8,106,62874.12,687,805420.84,1,0,3,14800
2019,דרום                          ,242,חורה,236,1422091.5,185,343744,182,292694.5,88,147305.5,117,238336.5,51,104633,287,534340,296,561514,38,62343,290,573161,24,33650,589,1250913.5,0,0,0,5600
2019,דרום                          ,243,שגב שלום,225,1147412.64,344,649302.64,331,385080.13,89,116385,193,278522.33,79,99976.2,169,197517.7,603,990997.72,47,67101,306,510690.8,26,37807.16,243,356490.62,0,0,4,4000
2019,דרום                          ,244,כסייפא,216,1812938,77,139925,482,628174,175,267496,191,315244,69,90970,109,205665,688,1090305,39,74460,512,989808,57,52650,371,734185,0,0,5,10650
2019,דרום                          ,245,אל קסום,219,1760749.21,147,372023.39,568,637088.47,79,159549.91,140,266842.07,46,98906.39,286,497188.13,559,1345029.16,35,53721.02,280,508750.47,59,75611.78,225,496965.99,0,0,0,0
2019,דרום                          ,246,נווה מדבר,216,1979184,134,231935,673,692451,228,218042,214,239311,98,97750,409,322928,612,1000727,43,30600,324,440795,41,40240,346,407083,0,0,2,4100
2019,חיפה   והצפון                 ,500,חדרה,428,2676271.6,204,263646.59,985,814495.14,353,402450.46,984,1348492.58,656,650674.46,947,984539.14,813,1142199.25,157,182790,849,1303184.3,103,107364.16,554,726676.96,2,4106,3,15182.5
2019,חיפה   והצפון                 ,501,חיפה,908,5858946,323,440475.85,1537,1831172.3,536,907215.75,1532,1799877.44,358,420740.8,949,1249747.08,1583,2724339.19,362,432151.95,1254,2173818.17,133,162381.53,876,1435703.53,0,0,9,57341.25
2019,חיפה   והצפון                 ,502,טבריה,259,385588.7,213,372637.85,375,558611.25,268,590615.6,238,441712.47,64,88713.67,316,448195.65,342,668887.8,227,280877.4,419,835342.81,86,108258.55,1184,2916826.95,6,4200,106,141946
2019,חיפה   והצפון                 ,504,עכו,574,4138117.82,240,399661.45,1164,1128920.09,502,766699.88,1132,1444446.14,569,571165.59,677,659570.61,1049,1688323.83,162,232948.24,1011,1613760.91,94,129531.18,738,1341394.09,0,0,0,19273
2019,חיפה   והצפון                 ,505,צפת,165,1604723.83,99,171573.3,176,215636.01,176,329265.18,165,264165.85,62,73952,157,244936.49,289,586903.05,85,146122.9,216,352291.87,57,71319.25,243,582220.68,0,0,0,9740
2019,חיפה   והצפון                 ,506,קרית אתא,353,2411255.4,92,175444.77,291,433750.21,179,297060,276,470871.85,106,164049.9,150,229960.15,388,853438.43,91,209610.03,340,633439.9,54,102616.36,575,1312822.6,0,0,1,16908
2019,חיפה   והצפון                 ,507,עפולה,358,1571220.88,170,244205.35,270,276658.3,146,235514.26,340,405235.78,169,203204.15,298,309584.55,238,275146.58,99,102665,354,536751.63,19,8374.5,291,487718.86,0,0,0,11762.6
